services,date,time,ride_status,source,destination,duration,ride_id,distance,ride_charge,misc_charge,total_fare,payment_method
bike lite,2024-06-26,22:58:20,cancelled,MG Road,Koramangala 5th Block,36,RD4094961892524540,24.75,,,,
auto share,2024-07-16,01:25:20,completed,Jayanagar 10th Block,Indiranagar 1st Stage,111,RD1442798918280220,23.85,32.23,1.52,33.75,QR scan
auto share,2024-06-30,14:30:20,completed,Koramangala 8th Block,Sahakar Nagar,82,RD1885193164831312,44.52,505.36,29.62,534.98,Cash
bike lite,2024-07-21,00:15:20,completed,Malleshwaram 3rd Block,Neelasandra,52,RD7021596753118241,46.5,562.38,22.78,585.16,Paytm
cab economy,2024-07-13,00:01:20,cancelled,Tumkur Road,JP Nagar West,120,RD8564838352757981,40.69,,,,
auto,2024-06-23,14:44:20,cancelled,Indiranagar 4th Stage,Malleshwaram 3rd Block,40,RD8178899895684258,44.81,,,,
auto share,2024-07-02,06:53:20,cancelled,Banashankari 10th Stage,Koramangala West,49,RD1604552725801368,8.36,,,,
cab economy,2024-07-11,10:15:20,completed,Richmond Road,Malleshwaram 9th Block,86,RD2751368435570667,36.83,303.6,46.5,350.1,Cash
bike,2024-07-08,16:57:20,cancelled,Marathahalli East,Jayanagar 8th Block,120,RD9323079372352784,39.26,,,,
parcel,2024-06-30,22:42:20,completed,HSR Layout South,Sarjapur Road,23,RD7848071465884922,47.58,374.12,2.14,376.26,Paytm
cab premium,2024-07-22,02:09:20,cancelled,Infantry Road,MG Road Symphony Theatre,72,RD4303531372338744,7.0,,,,
bike,2024-07-09,14:34:20,cancelled,JP Nagar Phase 4,Jayanagar 9th Block East,94,RD7611926410419433,28.38,,,,
auto,2024-07-10,19:55:20,completed,Banashankari 4th Stage,BTM Layout,31,RD1869672315062291,42.44,384.66,44.03,428.69000000000005,phonePy
cab premium,2024-07-06,12:23:20,cancelled,Hebbal East,Jayanagar 3rd Block,61,RD8985642156896748,18.31,,,,
parcel,2024-07-13,09:00:20,cancelled,Cunningham Road,Koramangala,59,RD3535328637962099,45.95,,,,
parcel,2024-07-23,22:35:20,completed,Electronic City North,Koramangala Central,30,RD8710069318668780,23.57,929.78,45.81,975.5899999999999,Paytm
cab premium,2024-06-26,06:07:20,cancelled,Hebbal Sanjay Nagar,MG Road Mahatma Gandhi Road,6,RD3322974541389981,8.24,,,,
auto,2024-07-08,22:50:20,cancelled,BTM Layout 2nd Stage,JP Nagar 2nd Phase,40,RD9405311574433229,26.19,,,,
bike,2024-06-28,01:55:20,completed,HSR Layout Sector 5 North,Basaveshwara Nagar,77,RD8362367488700693,9.68,776.14,13.38,789.52,phonePy
auto,2024-07-19,12:16:20,cancelled,Jayanagar 7th Block East,Cubbon Park,102,RD1747083096414073,16.62,,,,
bike,2024-07-16,15:14:20,cancelled,Sahakar Nagar,St. Marks Road,119,RD2026498291689182,26.41,,,,
cab economy,2024-07-13,07:42:20,cancelled,Koramangala 7th Block,Nandini Layout,21,RD7449038581946943,33.44,,,,
parcel,2024-07-01,04:11:20,completed,Banashankari 3rd Stage,MG Road Mayo Hall,23,RD6443268930674974,28.81,236.76,35.71,272.46999999999997,Cash
bike lite,2024-07-07,09:59:20,completed,Peenya,Victoria Layout,31,RD4709785857967914,37.39,263.71,21.35,285.06,Amazon Pay
parcel,2024-06-26,06:39:20,completed,Whitefield West,MG Road West,17,RD5447020748458756,11.37,638.69,13.08,651.7700000000001,QR scan
cab premium,2024-06-23,17:59:20,cancelled,JP Nagar 10th Phase,Electronic City South,43,RD1609991345015641,46.28,,,,
cab economy,2024-06-26,09:40:20,cancelled,Banashankari 3rd Stage,Electronic City Phase 2,50,RD1859074226243444,27.34,,,,
bike lite,2024-07-01,16:24:20,cancelled,Brigade Road West,HSR Layout Sector 1,60,RD2383518617510038,26.51,,,,
cab premium,2024-07-13,16:49:20,cancelled,Brigade Road North,Indiranagar 3rd Stage,93,RD2541831707159152,32.13,,,,
auto share,2024-07-09,02:50:20,cancelled,HSR Layout Sector 7 South,Electronic City North,16,RD3776548811452950,21.82,,,,
parcel,2024-07-17,09:40:20,completed,Rajajinagar 2nd Block,Ganganagar,23,RD3578600416322707,8.92,183.58,31.88,215.46,Amazon Pay
bike lite,2024-06-26,22:02:20,cancelled,Whitefield Mahadevapura,Lavelle Road,109,RD6521964848391752,9.1,,,,
parcel,2024-07-15,13:27:20,completed,Hebbal West,BTM Layout,18,RD1845741914324393,17.69,919.77,5.2,924.97,Amazon Pay
bike lite,2024-06-23,13:44:20,completed,MG Road Mayo Hall,Indiranagar 10th Stage,98,RD9917503294897174,1.54,451.06,36.94,488.0,Paytm
bike,2024-07-23,11:00:20,completed,Rajajinagar 5th Block,Malleshwaram 7th Block,70,RD4096926315718328,14.67,290.11,18.62,308.73,phonePy
auto,2024-07-06,17:02:20,completed,JP Nagar West,Koramangala 6th Block,80,RD6987507973814324,2.46,147.99,31.48,179.47,QR scan
auto share,2024-07-02,21:53:20,cancelled,HSR Layout Sector 6,Marathahalli Bridge,114,RD2582511394395787,8.8,,,,
auto share,2024-06-30,21:50:20,cancelled,JP Nagar Phase 6,Malleshwaram East,31,RD7055551302494909,22.8,,,,
cab economy,2024-07-18,06:34:20,cancelled,Tumkur Road,Malleshwaram 3rd Block,96,RD7543293026497205,43.42,,,,
bike lite,2024-07-10,21:10:20,cancelled,HSR Layout Sector 6,Richmond Town,72,RD5864758733334758,44.0,,,,
bike lite,2024-07-06,02:40:20,cancelled,JP Nagar 7th Phase,Doddanekundi,17,RD2425608811159256,32.82,,,,
bike,2024-07-16,01:26:20,cancelled,Brigade Road East,JP Nagar Phase 8,44,RD1757889583119161,15.55,,,,
bike,2024-07-12,01:44:20,completed,HSR Layout Sector 5 South,Malleshwaram 8th Block,54,RD6278973879932673,46.97,658.46,11.83,670.2900000000001,Paytm
bike,2024-07-13,21:35:20,completed,Richmond Town,Jayanagar 9th Block East,14,RD1295664002647757,48.28,314.24,24.85,339.09000000000003,phonePy
cab premium,2024-07-15,02:19:20,completed,JP Nagar 6th Phase,HSR Layout Sector 10,59,RD6383540005912578,44.16,630.24,43.89,674.13,Paytm
cab premium,2024-07-10,11:22:20,cancelled,Whitefield,JP Nagar West,41,RD6214470933334691,14.13,,,,
auto,2024-07-04,16:11:20,completed,JP Nagar 1st Phase,Indiranagar 7th Stage,5,RD9159969935913258,13.84,983.2,13.76,996.96,QR scan
auto,2024-06-27,08:18:20,cancelled,HSR Layout Sector 2,Indiranagar 4th Stage,48,RD4156250418379872,38.08,,,,
auto share,2024-07-02,16:16:20,cancelled,Malleshwaram 5th Block,Whitefield North,18,RD1262030455593193,20.27,,,,
bike lite,2024-07-08,10:04:20,completed,Kempapura,Banashankari 9th Stage,53,RD7135594345148367,23.6,582.69,24.0,606.69,GPay
bike,2024-06-26,18:43:20,completed,Brigade Road Mayo Hall,JP Nagar 2nd Phase,9,RD5331764190272326,32.47,456.23,14.9,471.13,Amazon Pay
auto,2024-07-19,03:18:20,cancelled,Koramangala East,HSR Layout Sector 1 South,14,RD1835251769537178,16.7,,,,
bike lite,2024-07-22,16:26:20,cancelled,Brigade Road Forum Mall,Whitefield Channasandra,94,RD5136336138670202,14.04,,,,
auto,2024-07-13,04:02:20,completed,Basaveshwaranagar,Brigade Road Richmond Road,78,RD6058199585938260,5.34,817.92,10.57,828.49,Paytm
bike lite,2024-07-23,11:00:20,completed,Brigade Road,Banashankari 8th Stage,16,RD4483962994958535,15.41,143.95,2.94,146.89,Amazon Pay
bike lite,2024-07-05,03:44:20,completed,MG Road Mayo Hall,JP Nagar West,60,RD2244515319952204,29.34,208.81,0.1,208.91,QR scan
bike,2024-07-07,08:35:20,completed,Koramangala East,Peenya,11,RD3241226368951441,46.11,326.52,20.66,347.18,QR scan
auto share,2024-07-08,06:30:20,cancelled,Sadashivanagar,MG Road Mayo Hall,42,RD5910666252211790,37.71,,,,
auto share,2024-07-07,10:22:20,completed,Whitefield West,HSR Layout Sector 5 North,38,RD7917584016518794,43.38,127.03,10.29,137.32,Paytm
bike lite,2024-06-25,00:46:20,completed,Kalyan Nagar,Electronic City West,51,RD7459208483638146,34.79,228.13,5.23,233.35999999999999,Cash
cab premium,2024-07-04,02:39:20,cancelled,MG Road Garuda Mall,MG Road Symphony Theatre,25,RD5568124914696436,44.29,,,,
bike,2024-07-08,14:47:20,completed,Jayanagar 9th Block East,Brigade Road Garuda Mall,111,RD6887217408160209,14.7,363.7,34.73,398.43,Paytm
bike lite,2024-06-26,16:15:20,completed,Marathahalli,HSR Layout East,71,RD7082828406182036,49.63,799.38,7.25,806.63,Paytm
cab economy,2024-06-23,15:25:20,completed,Hebbal Ganganagar,Rajajinagar 5th Block,114,RD2759405967929128,10.71,600.62,18.74,619.36,GPay
cab premium,2024-07-16,02:23:20,cancelled,HSR Layout Central,Whitefield Borewell Road,115,RD1790413450161246,39.85,,,,
auto,2024-07-19,14:18:20,completed,Jayanagar 8th Block East,Banashankari 9th Stage,42,RD6175075375384574,2.34,386.42,27.74,414.16,QR scan
bike lite,2024-07-01,09:06:20,cancelled,Hebbal North,HSR Layout West,60,RD6182499349409169,30.51,,,,
auto,2024-07-02,03:16:20,completed,HSR Layout Sector 8 North,Infantry Road,34,RD1132720826280151,32.21,757.76,34.59,792.35,Paytm
bike lite,2024-07-12,03:36:20,completed,Malleshwaram Central,Banashankari 8th Stage,22,RD6846667503705079,44.49,963.41,46.11,1009.52,Cash
parcel,2024-07-12,09:09:20,cancelled,HSR Layout Central,JP Nagar Central,55,RD6746961799642167,48.17,,,,
bike,2024-07-01,01:48:20,cancelled,Brigade Road Richmond Road,Brigade Road Mota Royal Arcade,14,RD6367526475136221,49.05,,,,
auto share,2024-07-22,14:24:20,completed,HSR Layout South,Koramangala 7th Block,58,RD4949876394430452,42.0,327.31,28.72,356.03,Amazon Pay
bike lite,2024-07-04,07:45:20,completed,Frazer Town,Indiranagar 4th Stage,62,RD5527574438924512,25.3,859.23,22.96,882.19,Paytm
cab economy,2024-06-27,11:09:20,completed,HSR Layout Sector 5 North,Electronic City Central,51,RD1690067104185834,34.02,214.69,27.37,242.06,Cash
parcel,2024-07-05,04:31:20,cancelled,Chikpet,Koramangala West,71,RD6424999713498212,8.84,,,,
auto,2024-07-03,20:23:20,completed,Rajajinagar 5th Block,Whitefield Kadugodi,71,RD5522022316269749,45.1,821.65,32.85,854.5,GPay
auto,2024-07-23,05:50:20,completed,Malleshwaram 3rd Block,JP Nagar Phase 4,62,RD5089685379092736,25.29,259.77,47.28,307.04999999999995,Paytm
auto,2024-07-15,04:18:20,cancelled,Marathahalli South,Nandini Layout,27,RD9094524941559141,22.33,,,,
parcel,2024-06-23,21:25:20,cancelled,Yelahanka Old Town,JP Nagar Phase 9,21,RD7381798783861916,25.1,,,,
cab economy,2024-07-06,03:08:20,completed,Whitefield Hope Farm Junction,JP Nagar Phase 7,22,RD5031916501051669,4.64,892.51,49.71,942.22,Amazon Pay
bike lite,2024-07-10,13:43:20,cancelled,Brigade Road Eva Mall,Domlur,106,RD6019624854443628,16.22,,,,
bike lite,2024-07-01,19:17:20,completed,Indiranagar East,Lalbagh,89,RD6879505101211177,8.51,409.98,16.91,426.89000000000004,Amazon Pay
auto,2024-07-22,00:13:20,cancelled,Malleshwaram 1st Block,Jayanagar,105,RD5739690936005107,29.07,,,,
auto share,2024-06-26,09:39:20,completed,Whitefield West,HSR Layout Sector 6 North,73,RD2354483597181015,14.63,459.81,11.3,471.11,QR scan
parcel,2024-07-17,05:02:20,cancelled,HSR Layout Sector 10 North,Hebbal Dasarahalli,102,RD4181273212992573,2.79,,,,
cab premium,2024-07-13,05:10:20,completed,HSR Layout Sector 1,Brigade Road Garuda Mall,112,RD2669822993222511,13.65,844.43,8.61,853.04,GPay
bike,2024-06-29,01:46:20,completed,Koramangala 1st Block,Marathahalli North,70,RD1780499483907008,9.99,120.83,28.24,149.07,Cash
cab premium,2024-07-18,09:19:20,cancelled,Whitefield Kadugodi,HSR Layout Sector 4 North,103,RD1779701952999453,13.93,,,,
bike lite,2024-07-20,02:44:20,completed,Jayanagar 1st Block East,Jayanagar 6th Block East,116,RD2173049103213442,16.3,507.64,5.56,513.1999999999999,phonePy
cab economy,2024-07-18,20:39:20,completed,Malleshwaram West,Brigade Gateway,115,RD7993515465743253,7.09,958.83,43.59,1002.4200000000001,GPay
auto share,2024-07-14,10:54:20,cancelled,Nandi Hills,Malleshwaram 7th Block,103,RD8039214599293172,23.56,,,,
cab premium,2024-07-07,17:42:20,completed,Koramangala 5th Block,Whitefield Channasandra,41,RD1411442783053159,43.26,701.57,46.77,748.34,QR scan
cab economy,2024-07-03,14:36:20,cancelled,Yelahanka New Town,Domlur,18,RD1518348849253714,1.76,,,,
parcel,2024-07-03,19:49:20,cancelled,Hebbal,Lalbagh,21,RD4098336182990878,22.09,,,,
parcel,2024-07-10,20:19:20,completed,Nandi Hills,Electronic City West,114,RD6131535268997636,43.3,140.25,28.83,169.07999999999998,phonePy
auto share,2024-07-18,04:45:20,completed,MG Road Central,Electronic City Central,65,RD3252377852261178,22.65,643.47,24.97,668.44,Amazon Pay
auto,2024-07-08,08:28:20,completed,Electronic City Central,Whitefield Varthur Road,90,RD9842441774468077,16.21,277.69,30.19,307.88,Cash
cab premium,2024-06-23,23:53:20,completed,Brigade Road Bangalore Central,Kempapura,120,RD5354832167882469,46.47,62.48,13.94,76.42,Cash
bike,2024-06-27,14:42:20,cancelled,Ulsoor,Koramangala West,40,RD7487271498421649,7.06,,,,
auto,2024-07-02,20:28:20,cancelled,MG Road,BTM Layout,63,RD7622044938977816,5.23,,,,
bike lite,2024-06-26,20:30:20,completed,Brigade Road Garuda Mall,Indiranagar 6th Stage,88,RD7419101378889439,19.34,936.23,30.27,966.5,Cash
bike lite,2024-07-11,21:50:20,completed,MG Road Brigade Road,Bellandur,105,RD9179485830908671,34.97,266.02,28.45,294.46999999999997,GPay
parcel,2024-06-26,03:27:20,completed,HSR Layout Sector 6,Koramangala 10th Block,83,RD9461138985851607,23.31,995.9,28.8,1024.7,QR scan
cab premium,2024-07-11,02:07:20,completed,Sahakar Nagar,Whitefield West,80,RD6890244690879482,12.67,324.78,42.87,367.65,phonePy
parcel,2024-06-25,10:15:20,cancelled,Marathahalli,Koramangala Central,57,RD4237157485857399,31.76,,,,
cab economy,2024-06-27,18:33:20,cancelled,Cooke Town,Tumkur Road,107,RD8613423442826115,48.67,,,,
auto,2024-07-03,19:02:20,cancelled,Koramangala West,Malleshwaram,58,RD1099029133438495,41.52,,,,
auto share,2024-06-28,17:23:20,completed,Whitefield Nallurhalli,Ganganagar,49,RD3821529459901614,14.03,806.26,45.99,852.25,QR scan
cab economy,2024-07-07,05:56:20,completed,Indiranagar Central,RT Nagar,62,RD3447805409635306,27.73,706.57,24.72,731.2900000000001,Amazon Pay
cab economy,2024-07-08,07:17:20,completed,Residency Road,MG Road Mayo Hall,56,RD3981111247056491,11.43,216.86,9.12,225.98000000000002,Amazon Pay
cab economy,2024-07-02,10:48:20,cancelled,MG Road Symphony Theatre,Hennur,18,RD8992665004304288,6.24,,,,
bike lite,2024-07-12,02:39:20,cancelled,Kempapura,JP Nagar 3rd Phase,35,RD7150615888256344,26.12,,,,
auto,2024-06-25,18:24:20,cancelled,Shantinagar,Whitefield ITPL,97,RD5795153224707383,10.52,,,,
auto,2024-07-02,00:51:20,cancelled,Yelahanka,Malleshwaram 7th Block,31,RD7448543871830641,35.91,,,,
cab premium,2024-07-13,19:25:20,completed,Sanjay Nagar,Malleshwaram 8th Block,75,RD5977113725055960,2.84,177.94,46.88,224.82,Paytm
auto share,2024-06-28,09:32:20,completed,Rajajinagar 8th Block,Indiranagar 1st Stage,79,RD6510576704392543,20.71,864.55,26.26,890.81,Cash
auto,2024-07-12,02:05:20,completed,MG Road North,Jayanagar 8th Block,31,RD6036427082389548,4.39,58.51,26.69,85.2,GPay
auto,2024-07-23,13:55:20,cancelled,Indiranagar North,Banashankari 10th Stage,104,RD6183408077029649,20.62,,,,
bike lite,2024-07-19,19:22:20,completed,HSR Layout Sector 4,Brigade Road Garuda Mall,65,RD5789324734393097,36.25,32.27,3.43,35.7,GPay
cab premium,2024-07-13,13:11:20,cancelled,JP Nagar 5th Phase,Jayanagar 9th Block East,13,RD7747210333024904,47.18,,,,
auto,2024-07-11,21:33:20,completed,Malleshwaram 2nd Block,Electronic City,17,RD4018654405196563,4.33,214.26,5.14,219.39999999999998,Paytm
cab economy,2024-07-14,08:47:20,completed,Bagmane Tech Park,HSR Layout Sector 6,101,RD1998608579602426,6.28,281.5,0.78,282.28,GPay
auto,2024-07-18,07:23:20,completed,Jayanagar 1st Block,Koramangala 5th Block,112,RD6916796829354386,45.49,400.38,30.24,430.62,Paytm
cab premium,2024-07-22,11:44:20,cancelled,Cubbon Park,Whitefield Hope Farm Junction,78,RD9104322363264050,8.82,,,,
auto,2024-07-17,05:43:20,completed,Koramangala West,JP Nagar Phase 5,67,RD3669266067847963,36.54,640.26,28.8,669.06,Paytm
auto share,2024-07-15,23:00:20,cancelled,Rajajinagar 4th Block,JP Nagar Phase 10,41,RD9918463687846102,37.98,,,,
bike,2024-07-16,08:28:20,completed,Whitefield West,MG Road Naga Theatre,54,RD4281096846027549,28.3,663.08,27.01,690.09,Cash
auto,2024-06-23,16:41:20,completed,JP Nagar,Jayanagar 4th Block East,18,RD2274748648578740,46.1,592.24,22.2,614.44,Amazon Pay
parcel,2024-06-29,07:13:20,cancelled,Benson Town,Rajajinagar 8th Block,91,RD3862429559116850,49.57,,,,
bike lite,2024-07-11,13:00:20,cancelled,HSR Layout Sector 5 South,Marathahalli Central,53,RD8655170048769875,39.33,,,,
cab premium,2024-06-24,08:29:20,cancelled,Koramangala 3rd Block,Brigade Road West,31,RD8530971511060920,2.96,,,,
bike lite,2024-07-10,11:58:20,cancelled,MG Road,HSR Layout Sector 5,7,RD8693526019909230,17.9,,,,
cab premium,2024-07-03,00:27:20,completed,Whitefield Varthur Road,HSR Layout Sector 9 South,98,RD7178459925777348,38.74,402.85,34.73,437.58000000000004,GPay
bike lite,2024-07-13,10:15:20,cancelled,Koramangala 10th Block,HSR Layout Sector 4 South,57,RD9455443865221388,23.42,,,,
parcel,2024-07-08,06:03:20,cancelled,Magadi Road,Lalbagh,93,RD4330845673475521,21.8,,,,
auto,2024-07-03,11:48:20,completed,Hebbal North,Brigade Road North,99,RD3726354809454384,6.19,989.77,38.88,1028.65,Amazon Pay
auto share,2024-07-03,07:40:20,cancelled,Kalyan Nagar,JP Nagar Phase 5,37,RD8345184424676701,45.91,,,,
bike lite,2024-07-11,02:58:20,completed,Yelahanka New Town,St. Marks Road,105,RD2500004770989899,49.22,173.87,47.26,221.13,Paytm
auto,2024-07-19,11:31:20,completed,JP Nagar,HSR Layout Sector 10 North,85,RD8918005316172788,49.8,927.52,25.34,952.86,Cash
bike,2024-07-12,23:04:20,cancelled,Seshadripuram,Hebbal North,105,RD2623805142383985,49.91,,,,
auto,2024-07-12,06:26:20,cancelled,Bagmane Tech Park,Brigade Road Eva Mall,111,RD2707207517600769,45.46,,,,
cab economy,2024-07-21,21:46:20,cancelled,JP Nagar West,Malleshwaram,108,RD5690853949989415,14.59,,,,
auto share,2024-07-10,18:06:20,completed,Indiranagar North,MG Road Garuda Mall,8,RD1968338627977755,1.04,499.79,9.87,509.66,GPay
cab premium,2024-07-09,13:34:20,completed,HSR Layout Sector 3 North,Kengeri,10,RD1724699243491091,31.01,942.34,33.17,975.51,Paytm
auto share,2024-06-28,20:47:20,completed,Majestic,Kammanahalli,68,RD9103083563108245,7.55,809.29,37.07,846.36,Cash
bike,2024-06-26,20:23:20,completed,MG Road Anil Kumble Circle,HSR Layout Central,60,RD9851364731937215,24.66,879.14,47.21,926.35,Amazon Pay
bike lite,2024-06-25,06:06:20,completed,Whitefield,HSR Layout Sector 7,65,RD3105883884364819,21.42,844.85,6.42,851.27,Amazon Pay
bike,2024-07-14,09:55:20,cancelled,Whitefield Hope Farm Junction,RT Nagar,93,RD4388037433402267,7.67,,,,
auto share,2024-07-02,10:13:20,cancelled,Malleshwaram 1st Block,Malleshwaram 2nd Block,107,RD9350306369798875,16.22,,,,
cab premium,2024-07-11,23:34:20,cancelled,Richmond Town,Jayanagar 2nd Block,119,RD7015204142449662,3.06,,,,
bike lite,2024-07-08,06:02:20,cancelled,BTM Layout 4th Stage,MG Road Anil Kumble Circle,23,RD4559261091633044,49.64,,,,
bike lite,2024-07-15,09:57:20,cancelled,JP Nagar 8th Phase,JP Nagar 6th Phase,105,RD3622521362480846,20.93,,,,
cab premium,2024-07-19,10:38:20,completed,Banashankari 8th Stage,Lalbagh,12,RD5935178595325292,38.69,553.27,41.61,594.88,QR scan
cab premium,2024-06-25,08:54:20,completed,Electronic City Central,Hebbal South,95,RD8641032636516816,2.85,58.24,22.23,80.47,QR scan
auto,2024-07-18,19:31:20,cancelled,JP Nagar Phase 6,Cubbon Park,39,RD2300135633057229,10.75,,,,
cab premium,2024-07-07,16:55:20,completed,Domlur,Whitefield East,25,RD9388352309753871,35.77,72.41,32.46,104.87,GPay
bike,2024-07-12,06:47:20,completed,HSR Layout Sector 10,Koramangala West,99,RD8673218584328827,37.5,214.3,4.2,218.5,Amazon Pay
auto share,2024-06-28,23:06:20,completed,MG Road Trinity Circle,Bellandur,19,RD7136778330791772,39.28,85.76,12.57,98.33000000000001,QR scan
cab premium,2024-07-14,23:46:20,completed,Brigade Road Garuda Mall,Brigade Road Residency Road,59,RD2191951329140790,24.6,645.4,34.56,679.96,QR scan
bike,2024-07-09,07:36:20,cancelled,Electronic City Phase 3,Marathahalli Ring Road,35,RD1790094718381097,3.28,,,,
auto,2024-07-11,12:48:20,completed,JP Nagar 1st Phase,Koramangala 9th Block,114,RD1374813668030835,1.43,648.47,37.75,686.22,GPay
auto,2024-07-17,08:14:20,cancelled,Malleshwaram,MG Road Brigade Road,52,RD1221471226303141,39.1,,,,
bike lite,2024-06-23,14:59:20,cancelled,Yelahanka New Town,JP Nagar 8th Phase,67,RD8856028543163385,3.34,,,,
parcel,2024-07-16,21:27:20,cancelled,Nandi Hills,HSR Layout North,94,RD5690826537806169,23.25,,,,
parcel,2024-07-06,02:14:20,completed,Electronic City,Domlur,68,RD9350405108598125,14.28,288.23,25.61,313.84000000000003,Paytm
cab premium,2024-07-16,15:30:20,completed,Indiranagar 4th Stage,Indiranagar 5th Stage,33,RD2743632433699226,20.94,426.84,5.75,432.59,Cash
bike,2024-07-08,08:48:20,cancelled,Indiranagar 4th Stage,Whitefield West,14,RD4053905272865246,5.26,,,,
bike,2024-07-23,09:47:20,cancelled,Yelahanka,HSR Layout Sector 3 North,81,RD6804380343294633,46.9,,,,
cab premium,2024-06-26,05:05:20,cancelled,MG Road Symphony Theatre,Indiranagar 7th Stage,52,RD6249584000738687,43.83,,,,
auto,2024-07-11,11:44:20,cancelled,Malleshwaram East,Hebbal Ganganagar,77,RD5594741789141661,37.85,,,,
cab premium,2024-07-22,11:37:20,cancelled,MG Road Symphony Theatre,Basaveshwara Nagar,33,RD9646444197351030,48.28,,,,
auto,2024-07-17,16:20:20,completed,HSR Layout Sector 1 South,Rajajinagar 1st Block,73,RD1116226930346941,32.7,845.22,5.9,851.12,phonePy
cab economy,2024-07-10,11:50:20,cancelled,Electronic City,Whitefield,109,RD3823307658957986,39.31,,,,
cab premium,2024-07-15,17:41:20,completed,MG Road South,Jayanagar 7th Block East,94,RD5612976374782560,23.15,34.93,24.81,59.739999999999995,phonePy
cab premium,2024-07-19,06:59:20,cancelled,Koramangala 6th Block,Malleshwaram 3rd Block,109,RD6713614687840975,23.52,,,,
auto share,2024-07-22,03:00:20,cancelled,JP Nagar Phase 3,HSR Layout Sector 4 North,112,RD4697918219358392,3.97,,,,
bike lite,2024-06-30,11:54:20,completed,HSR Layout Sector 8 South,Shivajinagar,25,RD1336543414436583,6.38,796.47,19.83,816.3000000000001,QR scan
auto share,2024-06-26,22:46:20,cancelled,Indiranagar 3rd Stage,MG Road Central,93,RD7449093841635481,2.28,,,,
parcel,2024-06-24,19:18:20,completed,Indiranagar 3rd Stage,Brigade Road Church Street,6,RD7456102776747832,34.01,113.76,37.08,150.84,Cash
bike lite,2024-07-18,05:06:20,cancelled,Vasanth Nagar,Basaveshwara Nagar,100,RD7970344732936055,20.99,,,,
auto,2024-07-06,11:39:20,completed,JP Nagar West,Majestic,76,RD1259259626723941,27.22,103.86,20.0,123.86,QR scan
cab economy,2024-06-30,16:52:20,completed,Kammanahalli,Malleshwaram 2nd Block,100,RD6080576753957312,39.36,667.24,42.31,709.55,GPay
bike lite,2024-07-13,22:43:20,completed,Marathahalli Bridge,Marathahalli Central,38,RD3696937928577204,30.43,227.47,16.48,243.95,QR scan
bike,2024-06-26,16:13:20,cancelled,Rajajinagar 1st Block,Koramangala North,64,RD7149964816540118,48.75,,,,
parcel,2024-07-03,04:56:20,completed,Hebbal Vidyaranyapura,Nandi Hills,96,RD7555265697659204,47.09,938.19,42.39,980.58,GPay
cab premium,2024-07-05,10:12:20,cancelled,Malleshwaram,Banashankari 9th Stage,13,RD7003252756607611,20.5,,,,
parcel,2024-07-19,07:16:20,cancelled,Peenya,Electronic City North,42,RD3360771647553656,7.85,,,,
auto share,2024-07-13,23:17:20,completed,Malleshwaram 7th Block,HSR Layout Sector 4,19,RD1505004152705058,44.83,262.22,33.41,295.63,QR scan
auto,2024-07-09,12:34:20,completed,BTM Layout 1st Stage,Lavelle Road,57,RD5386359264132560,6.77,674.65,23.16,697.81,GPay
auto share,2024-07-13,08:40:20,completed,BTM Layout,Cunningham Road,100,RD2606466155444570,37.97,411.19,24.59,435.78,GPay
bike lite,2024-07-14,00:53:20,cancelled,Electronic City Phase 1,Jayanagar 9th Block,61,RD2116198813440139,18.92,,,,
auto share,2024-07-22,11:54:20,completed,JP Nagar 10th Phase,Koramangala 5th Block,63,RD1799655042049279,17.73,575.01,1.19,576.2,Paytm
auto share,2024-07-16,07:32:20,completed,Kalyan Nagar,Marathahalli Ring Road,74,RD9207879981851911,19.36,679.06,24.82,703.88,GPay
cab premium,2024-07-08,08:20:20,cancelled,HSR Layout East,HSR Layout Sector 3 South,66,RD8724118334506090,10.91,,,,
cab premium,2024-07-06,07:36:20,completed,Ashok Nagar,MG Road Garuda Mall,117,RD8794540204827273,25.16,804.29,35.15,839.4399999999999,GPay
auto,2024-07-11,23:02:20,completed,HSR Layout Sector 1 North,Indiranagar 8th Stage,115,RD4800802214154795,14.09,777.27,18.83,796.1,Cash
cab economy,2024-06-25,02:01:20,cancelled,JP Nagar 3rd Phase,Jayanagar 5th Block,28,RD1081154528601678,40.22,,,,
auto,2024-07-14,21:48:20,completed,Jayanagar 10th Block East,Malleshwaram 7th Block,24,RD8138602170221652,18.97,509.68,24.5,534.1800000000001,QR scan
auto share,2024-07-06,16:02:20,completed,Varthur,Banashankari 9th Stage,40,RD9495280947406030,13.78,406.46,7.68,414.14,Cash
auto,2024-07-07,07:11:20,completed,HSR Layout North,Ganganagar,50,RD9343146039173135,42.51,130.96,0.75,131.71,phonePy
bike,2024-07-20,05:45:20,cancelled,HSR Layout Sector 2 South,BTM Layout 4th Stage,48,RD2964393639968345,43.16,,,,
auto share,2024-07-02,13:35:20,completed,MG Road Naga Theatre,HSR Layout Sector 4 North,88,RD4525476270287810,34.47,549.85,2.26,552.11,Cash
bike,2024-07-14,08:02:20,cancelled,Yeshwanthpur,Rajajinagar 2nd Block,75,RD7354528455208341,27.18,,,,
auto share,2024-06-23,10:06:20,completed,Jayanagar 1st Block East,Malleshwaram 1st Block,88,RD4610892045818868,15.17,25.41,26.27,51.68,Paytm
